Collisions,Der,Energy,Exp,Nodes,PathLoss,PktSent
0,0.4371584699453552,1.3666498559999998,7,50,0,183
1,0.4213333333333333,2.8005119999999994,7,100,0,375
2,0.4438405797101449,4.122353663999996,7,150,0,552
4,0.4375876577840112,5.324706815999995,7,200,0,713
9,0.4540358744394618,6.661484543999992,7,250,0,892
11,0.4710820895522388,8.005730303999982,7,300,0,1072
13,0.43516308671439935,9.387316223999992,7,350,0,1257
15,0.4436765722183829,10.806242303999994,7,400,0,1447
15,0.4531442663378545,12.113147903999991,7,450,0,1622
25,0.4521396396396397,13.263224831999988,7,500,0,1776
26,0.4427402862985685,14.607470591999993,7,550,0,1956
15,0.4315100514258999,15.974120448000017,7,600,0,2139
21,0.4330606973740853,17.34823833600002,7,650,0,2323
46,0.4526273885350319,18.75969638400002,7,700,0,2512
51,0.4606196341918626,20.006857728000032,7,750,0,2679
33,0.4625087596355992,21.313763328000007,7,800,0,2854
47,0.4367172050098879,22.658009088000032,7,850,0,3034
52,0.4427387166103777,24.32338022400004,7,900,0,3257
69,0.4544924154025671,25.60041369600005,7,950,0,3428
2,0.989071038251366,1.3666498559999998,7,50,1,183
2,0.9946666666666668,2.8005119999999994,7,100,1,375
8,0.9855072463768116,4.122353663999996,7,150,1,552
9,0.9873772791023844,5.324706815999995,7,200,1,713
22,0.9753363228699552,6.661484543999992,7,250,1,892
30,0.9720149253731344,8.005730303999982,7,300,1,1072
30,0.9761336515513126,9.387316223999992,7,350,1,1257
47,0.9675190048375948,10.806242303999994,7,400,1,1447
55,0.9660912453760788,12.113147903999991,7,450,1,1622
82,0.9538288288288288,13.263224831999988,7,500,1,1776
73,0.962678936605317,14.607470591999993,7,550,1,1956
92,0.956989247311828,15.974120448000017,7,600,1,2139
126,0.9457597933706414,17.34823833600002,7,650,1,2323
137,0.9454617834394904,18.75969638400002,7,700,1,2512
190,0.9290780141843972,20.006857728000032,7,750,1,2679
165,0.9421864050455501,21.313763328000007,7,800,1,2854
214,0.9294660514172708,22.658009088000032,7,850,1,3034
258,0.920785999385938,24.32338022400004,7,900,1,3257
273,0.9203617269544924,25.60041369600005,7,950,1,3428
2,0.989071038251366,1.3666498559999998,7,50,2,183
2,0.9946666666666668,2.8005119999999994,7,100,2,375
8,0.9855072463768116,4.122353663999996,7,150,2,552
9,0.9873772791023844,5.324706815999995,7,200,2,713
22,0.9753363228699552,6.661484543999992,7,250,2,892
30,0.9720149253731344,8.005730303999982,7,300,2,1072
30,0.9761336515513126,9.387316223999992,7,350,2,1257
47,0.9675190048375948,10.806242303999994,7,400,2,1447
55,0.9660912453760788,12.113147903999991,7,450,2,1622
82,0.9538288288288288,13.263224831999988,7,500,2,1776
73,0.962678936605317,14.607470591999993,7,550,2,1956
92,0.956989247311828,15.974120448000017,7,600,2,2139
126,0.9457597933706414,17.34823833600002,7,650,2,2323
137,0.9454617834394904,18.75969638400002,7,700,2,2512
190,0.9290780141843972,20.006857728000032,7,750,2,2679
165,0.94218640504555,21.313763328000007,7,800,2,2854
214,0.9294660514172708,22.658009088000032,7,850,2,3034
258,0.9207859993859381,24.32338022400004,7,900,2,3257
273,0.9203617269544924,25.60041369600005,7,950,2,3428
2,0.989071038251366,1.3666498559999998,7,50,3,183
2,0.9946666666666668,2.8005119999999994,7,100,3,375
8,0.9855072463768116,4.122353663999996,7,150,3,552
9,0.9873772791023844,5.324706815999995,7,200,3,713
22,0.9753363228699552,6.661484543999992,7,250,3,892
30,0.9720149253731344,8.005730303999982,7,300,3,1072
30,0.9761336515513126,9.387316223999992,7,350,3,1257
47,0.9675190048375948,10.806242303999994,7,400,3,1447
55,0.9660912453760788,12.113147903999991,7,450,3,1622
82,0.9538288288288288,13.263224831999988,7,500,3,1776
73,0.962678936605317,14.607470591999993,7,550,3,1956
92,0.956989247311828,15.974120448000017,7,600,3,2139
126,0.9457597933706414,17.34823833600002,7,650,3,2323
137,0.9454617834394904,18.75969638400002,7,700,3,2512
190,0.9290780141843972,20.006857728000032,7,750,3,2679
165,0.9421864050455501,21.313763328000007,7,800,3,2854
214,0.9294660514172708,22.658009088000032,7,850,3,3034
258,0.920785999385938,24.32338022400004,7,900,3,3257
273,0.9203617269544924,25.60041369600005,7,950,3,3428
2,0.989071038251366,1.3666498559999998,7,50,4,183
2,0.9946666666666668,2.8005119999999994,7,100,4,375
8,0.9855072463768116,4.122353663999996,7,150,4,552
9,0.9873772791023844,5.324706815999995,7,200,4,713
22,0.9753363228699552,6.661484543999992,7,250,4,892
30,0.9720149253731344,8.005730303999982,7,300,4,1072
30,0.9761336515513126,9.387316223999992,7,350,4,1257
47,0.9675190048375948,10.806242303999994,7,400,4,1447
55,0.9660912453760788,12.113147903999991,7,450,4,1622
82,0.9538288288288288,13.263224831999988,7,500,4,1776
73,0.962678936605317,14.607470591999993,7,550,4,1956
92,0.956989247311828,15.974120448000017,7,600,4,2139
126,0.9457597933706414,17.34823833600002,7,650,4,2323
137,0.9454617834394904,18.75969638400002,7,700,4,2512
190,0.9290780141843972,20.006857728000032,7,750,4,2679
165,0.94218640504555,21.313763328000007,7,800,4,2854
214,0.9294660514172708,22.658009088000032,7,850,4,3034
258,0.9207859993859381,24.32338022400004,7,900,4,3257
273,0.9203617269544924,25.60041369600005,7,950,4,3428
2,0.989071038251366,1.3666498559999998,7,50,5,183
2,0.9946666666666668,2.8005119999999994,7,100,5,375
8,0.9855072463768116,4.122353663999996,7,150,5,552
9,0.9873772791023844,5.324706815999995,7,200,5,713
22,0.9753363228699552,6.661484543999992,7,250,5,892
30,0.9720149253731344,8.005730303999982,7,300,5,1072
30,0.9761336515513126,9.387316223999992,7,350,5,1257
47,0.9675190048375948,10.806242303999994,7,400,5,1447
55,0.9660912453760788,12.113147903999991,7,450,5,1622
82,0.9538288288288288,13.263224831999988,7,500,5,1776
73,0.962678936605317,14.607470591999993,7,550,5,1956
92,0.956989247311828,15.974120448000017,7,600,5,2139
126,0.9457597933706414,17.34823833600002,7,650,5,2323
137,0.9454617834394904,18.75969638400002,7,700,5,2512
190,0.9290780141843972,20.006857728000032,7,750,5,2679
165,0.9421864050455501,21.313763328000007,7,800,5,2854
214,0.9294660514172708,22.658009088000032,7,850,5,3034
258,0.920785999385938,24.32338022400004,7,900,5,3257
273,0.9203617269544924,25.60041369600005,7,950,5,3428
2,0.989071038251366,1.3666498559999998,7,50,6,183
2,0.9946666666666668,2.8005119999999994,7,100,6,375
8,0.9855072463768116,4.122353663999996,7,150,6,552
9,0.9873772791023844,5.324706815999995,7,200,6,713
22,0.9753363228699552,6.661484543999992,7,250,6,892
30,0.9720149253731344,8.005730303999982,7,300,6,1072
30,0.9761336515513126,9.387316223999992,7,350,6,1257
47,0.9675190048375948,10.806242303999994,7,400,6,1447
55,0.9660912453760788,12.113147903999991,7,450,6,1622
82,0.9538288288288288,13.263224831999988,7,500,6,1776
73,0.962678936605317,14.607470591999993,7,550,6,1956
92,0.956989247311828,15.974120448000017,7,600,6,2139
126,0.9457597933706414,17.34823833600002,7,650,6,2323
137,0.9454617834394904,18.75969638400002,7,700,6,2512
190,0.9290780141843972,20.006857728000032,7,750,6,2679
165,0.94218640504555,21.313763328000007,7,800,6,2854
214,0.9294660514172708,22.658009088000032,7,850,6,3034
258,0.9207859993859381,24.32338022400004,7,900,6,3257
273,0.9203617269544924,25.60041369600005,7,950,6,3428
2,0.989071038251366,1.3666498559999998,7,50,7,183
3,0.992,2.8005119999999994,7,100,7,375
9,0.9836956521739132,4.122353663999996,7,150,7,552
11,0.9845722300140252,5.324706815999995,7,200,7,713
29,0.967488789237668,6.661484543999992,7,250,7,892
33,0.9692164179104478,8.005730303999982,7,300,7,1072
35,0.9721559268098648,9.387316223999992,7,350,7,1257
60,0.9585348997926744,10.806242303999994,7,400,7,1447
70,0.9568434032059188,12.113147903999991,7,450,7,1622
102,0.9425675675675677,13.263224831999988,7,500,7,1776
89,0.9544989775051124,14.607470591999993,7,550,7,1956
114,0.9467040673211781,15.974120448000017,7,600,7,2139
142,0.9388721480843736,17.34823833600002,7,650,7,2323
168,0.9331210191082804,18.75969638400002,7,700,7,2512
223,0.9167599850690556,20.006857728000032,7,750,7,2679
188,0.9341275402943238,21.313763328000007,7,800,7,2854
250,0.9176005273566248,22.658009088000032,7,850,7,3034
310,0.9048203868590728,24.32338022400004,7,900,7,3257
317,0.9075262543757292,25.60041369600005,7,950,7,3428
2,0.989071038251366,1.3666498559999998,7,50,8,183
2,0.9946666666666668,2.8005119999999994,7,100,8,375
7,0.9873188405797102,4.122353663999996,7,150,8,552
8,0.9887798036465638,5.324706815999995,7,200,8,713
28,0.968609865470852,6.661484543999992,7,250,8,892
30,0.9720149253731344,8.005730303999982,7,300,8,1072
32,0.9745425616547336,9.387316223999992,7,350,8,1257
55,0.9619903248099516,10.806242303999994,7,400,8,1447
61,0.9623921085080148,12.113147903999991,7,450,8,1622
