Collisions,Der,Energy,Exp,Nodes,PathLoss,PktSent
326,0.5521978021978022,164.52865228799968,0,200,0,728
345,0.5484293193717278,172.66468454399958,0,200,0,764
363,0.5133689839572193,169.04867020799963,0,200,0,748
321,0.5697050938337802,168.59666841599986,0,200,0,746
306,0.5702247191011236,160.9126379519998,0,200,0,712
305,0.5722300140252454,161.13863884799989,0,200,0,713
342,0.5229485396383866,162.4946442239997,0,200,0,719
307,0.5620542082738944,158.4266280959997,0,200,0,701
338,0.5382513661202186,165.43265587199974,0,200,0,732
264,0.6077265973254086,152.09860300799974,0,200,0,673
342,0.545816733067729,170.1786746879999,0,200,0,753
97,0.7188405797101449,77.97030911999998,0,100,0,345
87,0.7542372881355932,80.004317184,0,100,0,354
84,0.7741935483870968,84.07233331199998,0,100,0,372
91,0.7493112947658402,82.038325248,0,100,0,363
78,0.7732558139534884,77.74430822400002,0,100,0,344
85,0.7658402203856749,82.03832524799995,0,100,0,363
88,0.7548209366391184,82.03832524799998,0,100,0,363
72,0.774294670846395,72.09428582400001,0,100,0,319
81,0.7679083094555874,78.87431270399999,0,100,0,349
107,0.7180156657963447,86.55834316800001,0,100,0,383
97,0.7365591397849462,84.07233331200001,0,100,0,372
52,0.8414634146341463,74.128293888,0,100,0,328
88,0.7528089887640449,80.456318976,0,100,0,356
96,0.7318435754189944,80.90832076800005,0,100,0,358
104,0.7241379310344828,85.202337792,0,100,0,377
94,0.7218934911242604,76.38830284799998,0,100,0,338
77,0.7657657657657657,75.25829836800003,0,100,0,333
94,0.7277936962750716,78.87431270399999,0,100,0,349
104,0.7192513368983957,84.52433510399999,0,100,0,374
82,0.7476923076923077,73.45029120000002,0,100,0,325
96,0.7551020408163265,88.59235123199998,0,100,0,392
70,0.7983193277310925,80.68231987200002,0,100,0,357
82,0.7636887608069164,78.42231091199997,0,100,0,347
134,0.6771084337349398,93.79037184000003,0,100,0,415
73,0.7966573816155988,81.134321664,0,100,0,359
3379,0.06267332224070993,814.9592309760034,0,1000,0,3606
102,0.728,84.75033599999998,0,100,0,375
85,0.7550432276657061,78.42231091200001,0,100,0,347
123,0.6795865633074936,87.462346752,0,100,0,387
78,0.7771428571428571,79.10031359999998,0,100,0,350
75,0.7781065088757396,76.388302848,0,100,0,338
3453,0.0619228680065182,832.135299072005,0,1000,0,3682
105,0.7300771208226221,87.91434854400002,0,100,0,389
90,0.7486033519553073,80.90832076800001,0,100,0,358
84,0.7818181818181819,87.01034496000004,0,100,0,385
63,0.8012618296529969,71.64228403199999,0,100,0,317
74,0.7909604519774012,80.00431718400003,0,100,0,354
101,0.7232876712328767,82.49032704000003,0,100,0,365
89,0.7435897435897436,79.32631449600001,0,100,0,351
80,0.7740112994350282,80.00431718399999,0,100,0,354
81,0.7544910179640718,75.48429926399999,0,100,0,334
