NrNodes,LogDistance,OkumSmall,OkumUrb,OkumSub,OkumRural,3gppSub,3gppUrb,poly3,poly6
50,0.437158469945355,0.989071038251366,0.989071038251366,0.989071038251366,0.989071038251366,0.989071038251366,0.989071038251366,0.989071038251366,0.989071038251366
100,0.421333333333333,0.994666666666667,0.994666666666667,0.994666666666667,0.994666666666667,0.994666666666667,0.994666666666667,0.992,0.994666666666667
150,0.443840579710145,0.985507246376812,0.985507246376812,0.985507246376812,0.985507246376812,0.985507246376812,0.985507246376812,0.983695652173913,0.98731884057971
200,0.437587657784011,0.987377279102384,0.987377279102384,0.987377279102384,0.987377279102384,0.987377279102384,0.987377279102384,0.984572230014025,0.988779803646564
250,0.454035874439462,0.975336322869955,0.975336322869955,0.975336322869955,0.975336322869955,0.975336322869955,0.975336322869955,0.967488789237668,0.968609865470852
300,0.471082089552239,0.972014925373134,0.972014925373134,0.972014925373134,0.972014925373134,0.972014925373134,0.972014925373134,0.969216417910448,0.972014925373134
350,0.435163086714399,0.976133651551313,0.976133651551313,0.976133651551313,0.976133651551313,0.976133651551313,0.976133651551313,0.972155926809865,0.974542561654734
400,0.443676572218383,0.967519004837595,0.967519004837595,0.967519004837595,0.967519004837595,0.967519004837595,0.967519004837595,0.958534899792674,0.961990324809952
450,0.453144266337854,0.966091245376079,0.966091245376079,0.966091245376079,0.966091245376079,0.966091245376079,0.966091245376079,0.956843403205919,0.962392108508015
500,0.45213963963964,0.953828828828829,0.953828828828829,0.953828828828829,0.953828828828829,0.953828828828829,0.953828828828829,0.942567567567568,0.945382882882883
550,0.442740286298568,0.962678936605317,0.962678936605317,0.962678936605317,0.962678936605317,0.962678936605317,0.962678936605317,0.954498977505112,0.960633946830266
600,0.4315100514259,0.956989247311828,0.956989247311828,0.956989247311828,0.956989247311828,0.956989247311828,0.956989247311828,0.946704067321178,0.951846657316503
650,0.433060697374085,0.945759793370641,0.945759793370641,0.945759793370641,0.945759793370641,0.945759793370641,0.945759793370641,0.938872148084374,0.940163581575549
700,0.452627388535032,0.94546178343949,0.94546178343949,0.94546178343949,0.94546178343949,0.94546178343949,0.94546178343949,0.93312101910828,0.938694267515923
750,0.460619634191863,0.929078014184397,0.929078014184397,0.929078014184397,0.929078014184397,0.929078014184397,0.929078014184397,0.916759985069056,0.918626353116835
800,0.462508759635599,0.94218640504555,0.94218640504555,0.94218640504555,0.94218640504555,0.94218640504555,0.94218640504555,0.934127540294324,0.935529081990189
850,0.436717205009888,0.929466051417271,0.929466051417271,0.929466051417271,0.929466051417271,0.929466051417271,0.929466051417271,0.917600527356625,0.918918918918919
900,0.442738716610378,0.920785999385938,0.920785999385938,0.920785999385938,0.920785999385938,0.920785999385938,0.920785999385938,0.904820386859073,0.909118821000921
950,0.454492415402567,0.920361726954492,0.920361726954492,0.920361726954492,0.920361726954492,0.920361726954492,0.920361726954492,0.907526254375729,0.911901983663944
