,3gppSub,3gppUrb,dist,logDist,okumMetro,okumRural,okumSmall,okumSub,poly3,poly6
0,-43.6827771718615,-46.6827771718615,1,-80.0871521803784,28.9797698953979,57.4258582219147,29.0341115066984,38.8824309103709,-71.067469491,-166.818667980936
1,-52.6619762021802,-55.6619762021802,2,-86.3485760901892,20.0005708650793,48.446659191596,20.0549124763797,29.9032318800522,-71.559099928,-162.780634893845
2,-57.9144709214284,-60.9144709214284,3,-90.0112742785474,14.7480761458311,43.1941644723478,14.8024177571316,24.650737160804,-72.044924257,-158.882870043737
3,-61.6411752324988,-64.6411752324988,4,-92.61,11.0213718347606,39.4674601612773,11.0757134460611,20.9240328497336,-72.524975424,-155.122375859476
4,-64.5318316699438,-67.5318316699438,5,-94.6257282705676,8.13071539731567,36.5768037238324,8.18505700861616,18.0333764122886,-72.999286375,-151.496187879938
5,-66.893669951747,-69.893669951747,6,-96.2726981883582,5.76887711551241,34.2149654420291,5.8232187268129,15.6715381304854,-73.467890056,-148.001374737513
6,-68.8905757657615,-71.8905757657615,7,-97.6651914126749,3.77197130149796,32.2180596280147,3.82631291279844,13.6746323164709,-73.930819413,-144.635038138959
7,-70.6203742628175,-73.6203742628175,8,-98.8714239098108,2.04217280444193,30.4882611309587,2.09651441574242,11.9448338194149,-74.388107392,-141.394312843592
8,-72.1461646709952,-75.1461646709952,9,-99.9353963767164,0.516382396264234,28.962470722781,0.570724007564721,10.4190434112372,-74.839786939,-138.276366638814
9,-73.5110307002624,-76.5110307002624,10,-100.887152180378,-0.848483633002999,27.5976046935137,-0.794142021702513,9.05417738196995,-75.285891,-135.278400313
10,-74.7457022073832,-77.7457022073832,11,-101.748120031669,-2.08315514012381,26.3629331863929,-2.02881352882332,7.81950587484914,-75.726452521,-132.397647625711
11,-75.8728689820657,-78.8728689820657,12,-102.534122098169,-3.21032191480625,25.2357664117105,-3.15598030350576,6.6923391001667,-76.161504448,-129.631375275264
12,-76.9097619007467,-79.9097619007467,13,-103.257173908361,-4.24721483348723,24.1988734930295,-4.19287322218675,5.65544618148572,-76.591079727,-126.976882863634
13,-77.8697747960801,-80.8697747960801,14,-103.926615322486,-5.2072277288207,23.238860597696,-5.15288611752021,4.69543328615225,-77.015211304,-124.431502858707
14,-78.7635254195106,-81.7635254195106,15,-104.549850368737,-6.10097835225119,22.3451099742655,-6.0466367409507,3.80168266272176,-77.433932125,-121.992600553875
15,-79.5995732931362,-82.5995732931362,16,-105.132847819622,-6.93702622587672,21.50906210064,-6.88268461457623,2.96563478909623,-77.847275136,-119.65757402497
16,-80.3849195524801,-83.3849195524801,17,-105.680489745046,-7.72237248522068,20.7237158412961,-7.6680308739202,2.18028852975227,-78.255273283,-117.423854084546
17,-81.1253637013139,-84.1253637013139,18,-106.196820286527,-8.46281663405443,19.9832716924623,-8.40847502275394,1.43984438091852,-78.657959512,-115.2889042335
18,-81.8257637814381,-84.8257637814381,19,-106.685227080197,-9.16321671417868,19.2828716123381,-9.10887510287819,0.73944430079427,-79.055366769,-113.250220610042
19,-82.4902297305811,-85.4902297305811,20,-107.148576090189,-9.82768266332166,18.6184056631951,-9.77334105202117,0.074978351651291,-79.447528,-111.305331936
20,-83.1222695153283,-86.1222695153283,21,-107.589313510844,-10.4597224480689,17.9863658784479,-10.4053808367684,-0.55706143309593,-79.834476151,-109.451799460477
21,-83.7249012377019,-86.7249012377019,22,-108.00954394148,-11.0623541704425,17.3837341560743,-11.008012559142,-1.15969315546952,-80.216244168,-107.687216900843
22,-84.300740301275,-87.300740301275,23,-108.411091169544,-11.6381932340156,16.8078950925011,-11.5838516227151,-1.73553221904264,-80.592864997,-106.00921038108
23,-84.8520680123844,-87.8520680123843,24,-108.79554600798,-12.1895209451249,16.2565673813918,-12.1351793338244,-2.28685993015196,-80.964371584,-104.415438367457
24,-85.380886168026,-88.380886168026,25,-109.164304360757,-12.7183391007666,15.7277492257501,-12.6639974894661,-2.81567808579365,-81.330796875,-102.903591601563
25,-85.8889609310653,-88.8889609310654,26,-109.518597818171,-13.2264138638059,15.2196744627108,-13.1720722525054,-3.32375284883295,-81.692173816,-101.471393030668
26,-86.3778584205621,-89.377858420562,27,-109.859518474885,-13.7153113533026,14.7307769732141,-13.6609697420021,-3.81265033832967,-82.048535353,-100.116597735443
27,-86.8489738263988,-89.8489738263988,28,-110.188039232297,-14.1864267591394,14.2596615673774,-14.1320851478389,-4.28376574416641,-82.399914432,-98.8369928550093
